user_id,timestamp,ticker,investment_amount,best_model_name,metric_value,estimated_profit
156526102,2026-01-15T02:40:31.858600,AAPL,1000.0,ARIMA,1.3392070975546755,0.0
156526102,2026-01-15T02:40:50.838931,AAPL,3000.0,ARIMA,1.3392069904195516,0.0
156526102,2026-01-15T03:53:10.009894,AAPL,1000.0,ARIMA,1.3392066482333347,0.0
156526102,2026-01-15T04:08:06.032643,AAPL,1000.0,ARIMA,1.3392064601016975,0.0
156526102,2026-01-15T04:09:44.777075,GOOGL,1000.0,ARIMA,1.5779942298342342,0.0
156526102,2026-01-15T04:33:50.434522,AMZN,1000.0,RNN,9.245741844177246,0.0
156526102,2026-01-15T04:46:42.175305,JNJ,1000.0,LSTM,7.638030529022217,0.0
156526102,2026-01-15T04:53:51.219209,TSLA,250.0,RNN,13.399767875671387,0.0
156526102,2026-01-15T05:01:11.871478,TSLA,20000.0,RNN,13.399767875671387,0.0
156526102,2026-01-15T05:01:55.557825,AAPL,100.0,ETS,1.6549029407851301,0.0
156526102,2026-01-15T05:02:13.494071,AAPL,10000.0,ETS,1.6549067796207546,0.0
156526102,2026-01-15T05:26:33.026142,AMZN,1000.0,RNN,9.245741844177246,0.0
156526102,2026-01-15T06:03:42.250737,AAPL,100.0,ETS,1.6549028038554139,6.125564962825138
